x,Americano
101 DALMATAS,1
11 MINUTOS,1
1A MOSTRA IN VINO VERITAS DE CINEMA,0
2001 UMA ODISSEIA NO ESPACO,1
22° FESTIVAL MIX BRASIL 2014,0
500 DIAS COM ELA,1
8º FESTA DO CINEMA ITALIANO,0
A ACUSADA,0
A CHEGADA,1
A CIDADE E UMA SO,0
A CIDADE ONDE ENVELHECO,0
A COMPANHIA DOS LOBOS,1
A DESPEDIDA,1
A DISTANCIA,1
A ECONOMIA DO AMOR,0
A ERA DO GELO  O BIG BANG,1
A ESCOLA DE BABEL,0
A FAMILIA DIONTI,1
A FESTA DE DESPEDIDA,0
A FLAUTA MAGICA,0
A FLOR DO MAL,1
A FURIA DO DRAGAO,1
A GAROTA DESCONHECIDA,0
A GAROTA DO LIVRO,1
A GLORIA E A GRACA,0
A HISTORIA SEM FIM,1
A HORA DO PESADELO,1
A JANELA MAGICA,0
A JOVEM RAINHA,0
A JUVENTUDE,1
A LIBERDADE E AZUL,0
A LISTA DE SCHINDLER,1
A LUTA DO SECULO,1
A LUZ ENTRE OCEANOS,1
A MAE,0
A MARCA DO MEDO,1
A MONTANHA DOS SETE ABUTRES,1
A MULHER QUE SE FOI,0
A NOIVA DE FRANKENSTEIN,1
A NOVICA REBELDE,1
A OPCAO OU AS ROSAS DA ESTRADA,0
A ORIGEM,1
A PELE DE VENUS,0
A PEQUENA SEREIA,1
A QUALQUER CUSTO,1
A REPARTICAO DO TEMPO,0
A SERPENTE,0
A TARTARUGA VERMELHA,0
A TEORIA SUECA DO AMOR,0
A TERRA VERMELHA,0
A ULTIMA LICAO,0
A ULTIMA RESSACA DO ANO,1
A VIAGEM DE MEU PAI,0
A VIDA DE UMA MULHER,0
A VIDA EM SI,1
A VIDA INVISIVEL,1
A VIZINHANCA DO TIGRE,0
A VOLTA,1
A VOZ EM OFF,1
ACORDA NICOLE,0
ACROSS THE UNIVERSE,1
ADEUS A LINGUAGEM,1
AEROBICA  UMA HISTORIA DE AMOR,1
AFTERIMAGE,1
AGNUS DEI,1
AIDA,1
AKIRA,1
ALABAMA MONROE,1
ALEM DA ILUSAO,1
ALICE ATRAVES DO ESPELHO,1
ALIEN  O OITAVO PASSAGEIRO,1
AMOR MALDITO,0
AMOR SEM FIM,1
AMOR SUBLIME AMOR,1
ANDRE RIEU  2019 MAASTRICHT CONCERT,0
ANGRY BIRDS  O FILME,1
ANIMA MUNDI 2014,1
ANIMAIS FANTASTICOS E ONDE HABITAM,1
ANIMAIS NOTURNOS,1
ANJOS DA NOITE GUERRAS DE SANGUE,1
ANNA,1
ANNABELLE,1
ANOMALISA,1
ANTES DO AMANHECER,1
ANTES O TEMPO NAO ACABAVA,0
APANHADORA DE SONHOS,0
APOCALYPSE NOW,1
AQUARIUS,1
ARGENTINA,1
AS AVENTURAS DE AZUR E ASMAR,0
AS AVENTURAS DE PADDINGTON,1
AS AVENTURAS DE ROBINSON CRUSOE,1
AS AVENTURAS DO PEQUENO COLOMBO,0
AS CONFISSOES,0
AS MIL E UMA NOITES VOLUME 1 O INQUIETO,1
AS MIL E UMA NOITES VOLUME 2 O DESOLADO,1
AS MIL E UMA NOITES VOLUME 3 O ENCANTADO,1
AS TARTARUGAS NINJA  FORA DAS SOMBRAS,1
ASAS DO DESEJO,1
ASPIRANTES,1
ASSALTO AO TREM PAGADOR,1
ASSIM QUE ABRO MEUS OLHOS,0
ASTERIX E O DOMINIO DOS DEUSES,1
ATO ATALHO E VENTO,0
AURORA,1
AUSTERLITZ,0
AXE CANTO DO POVO DE UM LUGAR,0
BAAL,0
BALLET BOLSHOI  A DAMA DAS CAMELIAS,0
BALLET BOLSHOI  A ERA DE OURO,0
BALLET BOLSHOI  LA BAYADERE,0
BALLET BOLSHOI  LAGO DOS CISNES,0
BALLET BOLSHOI  O QUEBRA NOZES,0
BALLET BOLSHOI  THE BRIGHT STREAM,0
BALLET BOLSHOI A MEGERA DOMADA,0
BALLET BOLSHOI AS CHAMAS DE PARIS,0
BALLET BOLSHOI DOM QUIXOTE,0
BALLET BOLSHOI GISELLE,0
BALLET BOLSHOI LA SYLPHIDE,0
BARASH,1
BATMAN O CAVALEIRO DAS TREVAS,1
BEATRIZ,0
BEDUINO,1
BELOS SONHOS,0
BIKES VS CARROS,1
BIRD PEOPLE,1
BLADE RUNNER  O CACADOR DE ANDROIDES,1
BLOWUP,1
BLUE JASMINE,1
BOI NEON,1
BONECO DO MAL,1
BONEQUINHA DE LUXO,1
BR 716,0
BRANCA DE NEVE E OS SETE ANOES,1
BRANCO SAI PRETO FICA,0
BRILHO ETERNO DE UMA MENTE SEM LEMBRANCAS,0
BRINCANTE,0
BRUXARIAS,1
BWAKAW,1
CACADORES DE EMOCAO,0
CACAFANTASMAS,1
CAES DE GUERRA,1
CAES SELVAGENS,1
CAFE,0
CAFE SOCIETY,0
CAMINO A LA PAZ,0
CAMPO DE JOGO,0
CANASTRA SUJA,0
CANTANDO NA CHUVA,1
CAPITAO AMERICA GUERRA CIVIL,1
CAPITAO FANTASTICO,1
CAPOEIRA UM PASSO A DOIS,0
CARLOTA JOAQUINA  PRINCESA DO BRASIL,0
CARNIVORA,1
CARRIE A ESTRANHA 1976,1
CARROS 2,1
CARTA BRANCA,0
CARTAS DA GUERRA,1
CASA,1
CASA GRANDE,0
CASABLANCA,1
CASAMENTO DE VERDADE,0
CASSINO,1
CAVALLERIA RUSTICANA  PAGLIACCI,0
CAVALO DINHEIRO,0
CEMITERIO DO ESPLENDOR,0
CENTRAL  O FILME,0
CERTAS MULHERES,0
CHARLES CHAPLIN A LENDA DO SECULO,1
CIDADAO KANE,1
CINDERELA,1
CINE VISTA 2016  A GAROTA DINAMARQUESA,1
CINE VISTA 2016  O REINO GELADO 2,1
CINEMA NOVO,0
CINQUENTA TONS DE CINZA,1
CINZAS,0
CLARISSE OU ALGUMA COISA SOBRE NOS DOIS,0
CLUBE DA LUTA,1
CLUBE DOS CINCO,1
COBAIN MONTAGE OF HECK,1
COM OS PUNHOS CERRADOS,0
COMBOIO DE SAL E ACUCAR,0
COMO TREINAR O SEU DRAGAO 2,1
COMO VOCE E,0
CONTA COMIGO,0
CORRENTE DO MAL,1
CORRESPONDENCIAS,1
CORTINAS FECHADAS,1
COS?� FAN TUTTE,0
COSMOS,1
CREEPY,1
CREPUSCULO DOS DEUSES,0
CRONICA DA DEMOLICAO,0
CURTAS 11,0
CURTAS 12,0
CURTAS 13,0
CURTAS 3,0
CURTAS 8,0
CURTINDO A VIDA ADOIDADO,1
DAVID LYNCH A VIDA DE UM ARTISTA,1
DE VOLTA PARA O FUTURO,1
DE VOLTA PARA O FUTURO 3,1
DEADPOOL,1
DEGRADE,1
DEIXA NA REGUA,0
DEMONIO DE NEON,0
DENTRO DA CAIXINHA,1
DEPOIS DA CHUVA,0
DEPOIS DE HORAS,0
DER SAMURAI,1
DESERTO,0
DEUSES DO EGITO,1
DIVERTIDA MENTE,1
DIVINAS DIVAS,0
DOIS REMI DOIS,0
DOLORES  UMA MULHER DOIS AMORES,0
DOUTOR ESTRANHO,1
DRACULA DE BRAM STOKER,1
DRAGON BALL Z  O RENASCIMENTO DE FREEZA,0
DUAS RAINHAS,0
E APENAS O FIM DO MUNDO,1
E FADA,0
E O VENTO LEVOU,0
EDEN,0
EDWARD MAOS DE TESOURA,1
EL AMPARO,0
EL FRASCO,0
ELA VOLTA NA QUINTA,1
ELIS,0
ELLE,1
ELON NAO ACREDITA NA MORTE,0
ENCANTADOS,1
ENTRELINHAS,0
ENTREVISTA COM O VAMPIRO,0
EPA CADE O NOE,0
EPIDEMIA DE CORES,0
ERA O HOTEL CAMBRIDGE,1
ERA UMA VEZ EM TOQUIO,1
ERASERHEAD,0
ESPERANDO ACORDADA,0
ESQUADRAO SUICIDA,1
ESTADOS UNIDOS PELO AMOR,1
ESTRANHOS NO PARAISO,1
EU DANIEL BLAKE,1
EU OLGA HEPNAROVA,0
EU SOLDADO,0
EU SOU INGRID BERGMAN,1
EU SOU MICHAEL,0
EXERCICIOS DE MEMORIA,0
EXODUS  DE ONDE EU VIM NAO EXISTE MAIS,1
EXPERIMENTOS,0
FACA A COISA CERTA,1
FALA COMIGO,1
FALLEN,1
FATIMA,0
FESTA DA SALSICHA,1
FESTIVAL DE OPERA NA TELA,0
FESTIVAL DE OPERA NA TELA  CARMEN,0
FESTIVAL DE OPERA NA TELA  GIANNI SCHICCHI,0
FESTIVAL JUDAICO 2016  JERUSALEM,0
FESTIVAL OPERA FLAUTA MAGICA,0
FESTIVAL VARILUX 2014,0
