"";"x"
"1";"10 SEGUNDOS PARA VENCER"
"2";"10° FESTIVAL DE CINEMA ITALIANO"
"3";"100 QUILOS DE ESTRELAS"
"4";"10A SEMANA DE CINEMA"
"5";"12 DIAS"
"6";"12 HEROIS"
"7";"120 BATIMENTOS POR MINUTO"
"8";"150 MILIGRAMAS"
"9";"1517  TREM PARA PARIS"
"10";"1917"
"11";"1930  TEMPO DE REVOLUCAO E 32  A GUERRA CIVIL"
"12";"1945"
"13";"1984  O FUTURO DO MUNDO"
"14";"2010  O ANO EM QUE FAREMOS CONTATO"
"15";"21 NOITES COM PATTIE"
"16";"22 MILHAS"
"17";"222  ENCONTRO MARCADO"
"18";"24 HORAS NA VIDA DE UM PALHACO  O SILENCIO DO MAR"
"19";"2ª ETAPA CBLOL PARQUE FARROUPILHA 2018"
"20";"3 FACES"
"21";"30 ANOS BLUES"
"22";"30 ANOS DE SUPEROUTRO"
"23";"30 DIAS  UM CARNAVAL ENTRE A ALEGRIA E A DESILUSAO"
"24";"35  O ASSALTO AO PODER"
"25";"45 DIAS SEM VOCE"
"26";"50 SAO OS NOVOS 30"
"27";"522 UM GATO UM CHINES E MEU PAI"
"28";"5T2 USHUAIA  TOPONIMIA"
"29";"7 DESEJOS"
"30";"8X ANIMACAO"
"31";"A ABELHINHA MAYA  O FILME"
"32";"A ALIANCA"
"33";"A AMANTE"
"34";"A APARICAO"
"35";"A ARVORE"
"36";"A ARVORE DOS FRUTOS SELVAGENS"
"37";"A ARVORE DOS TAMANCOS"
"38";"A AUTOPSIA"
"39";"A BAILARINA"
"40";"A BATALHA DAS CORRENTES"
"41";"A BELA DA TARDE"
"42";"A BELA E A FERA"
"43";"A BELA INTRIGANTE"
"44";"A BUSCA DO CHEFE DUCASSE"
"45";"A BUSCA DO LUCRO E O SUSSURRO DO VENTO"
"46";"A CABANA"
"47";"A CABECA DE GUMERCINDO SARAIVA"
"48";"A CADA MOMENTO"
"49";"A CAMA"
"50";"A CAMAREIRA"
"51";"A CAMERA DE CLAIRE"
"52";"A CAMINHO DE CASA"
"53";"A CANCAO DA TERRA NATAL"
"54";"A CASA DE VERANEIO"
"55";"A CASA DO MEDO  INCIDENTE EM GHOSTLAND"
"56";"A CASA QUE JACK CONSTRUIU"
"57";"A CHANCE DE FAHIM"
"58";"A CIAMBRA"
"59";"A CIDADE DO FUTURO"
"60";"A CIDADE DOS PIRATAS"
"61";"A CIDADE SEM JUDEUS"
"62";"A CINCO PASSOS DE VOCE"
"63";"A COMEDIA DIVINA"
"64";"A CONEXAO"
"65";"A COR DO OCEANO"
"66";"A COSTUREIRA DE SONHOS"
"67";"A CRIADA"
"68";"A CRIANCA LGBT EXISTEXAVIERNASSERTAKE YOURGOLD"
"69";"A CURA"
"70";"A DESTRUICAO DE BERNARDET"
"71";"A DIVISAO"
"72";"A DONZELA DA NEVE"
"73";"A DUPLA JORNADA  NAO E HORA DE CHORAR"
"74";"A EFEMERIDADE DO PARAISO"
"75";"A ESPERA"
"76";"A ESPIA VERMELHA"
"77";"A ESPOSA"
"78";"A ESTACAO DE TREM  FABRICA"
"79";"A ESTETICISTA"
"80";"A ESTRELA DE BELEM"
"81";"A EXCENTRICA FAMILIA DE GASPARD"
"82";"A EXPLORACAO DA ANTARTIDA"
"83";"A FABRICA DE NADA"
"84";"A FACE NEGRA DO AMOR"
"85";"A FAMILIA ADDAMS"
"86";"A FAMILIA BELIER"
"87";"A FANTASTICA FABRICA DE CHOCOLATE  1971"
"88";"A FANTASTICA FORMULA DO DR FUNES"
"89";"A FANTASTICA VIAGEM DE MARONA"
"90";"A FAVORITA"
"91";"A FAVORITA  OPERA"
"92";"A FEBRE"
"93";"A FERA NA SELVA"
"94";"A FESTA"
"95";"A FILHA"
"96";"A FILOSOFIA NA ALCOVA"
"97";"A FORMA DA AGUA"
"98";"A FREIRA"
"99";"A GANHAPAO"
"100";"A GAROTA COM A PULSEIRA"
"101";"A GAROTA DA PULSEIRA"
"102";"A GAROTA DO ARMARIO"
"103";"A GAROTA NA NEVOA"
"104";"A GAROTA OCIDENTAL  ENTRE O CORACAO E A TRADICAO"
"105";"A GENTE"
"106";"A GERACAO DA RIQUEZA"
"107";"A GRANDE DAMA DO CINEMA"
"108";"A GRANDE JOGADA"
"109";"A GRANDE MENTIRA"
"110";"A GRANDE MURALHA"
"111";"A GRANDE MURALHA IMS"
"112";"A GRANDE MURALHA VERDE"
"113";"A GREVE"
"114";"A GUERRA DOS SEXOS"
"115";"A HISTORIA DE UM SILVA  MOSTRA ESTREIAS CARIOCAS"
"116";"A HISTORIA DE UM SONHO  TODAS AS CASAS DO TIMAO"
"117";"A HISTORIA IMORTAL"
"118";"A HORA DA SUA MORTE"
"119";"A IMAGEM DA TOLERANCIA"
"120";"A INTERRUPCAO"
"121";"A INVOCACAO"
"122";"A INVOCACAO 2"
"123";"A JANELA DA ALMA"
"124";"A JAQUETA DE COURO DE CERVO"
"125";"A JUIZA"
"126";"A JUSTICEIRA"
"127";"A LEI DA NOITE"
"128";"A LENDA DE GOLEM"
"129";"A LIBERDADE DO DIABO"
"130";"A LIVRARIA"
"131";"A LONGA CAMINHADA"
"132";"A LUTA DE STEVE"
"133";"A LUZ"
"134";"A LUZ DO TOM"
"135";"A LUZ NO FIM DO MUNDO"
"136";"A MALDICAO DA CASA WINCHESTER"
"137";"A MALDICAO DA CHORONA"
"138";"A MALDICAO DA FREIRA"
"139";"A MALDICAO DO ESPELHO"
"140";"A MALDITA"
"141";"A MARATONA DE BRITTANY"
"142";"A MARCA DO ASSASSINO"
"143";"A MATA NEGRA"
"144";"A MELHOR ESCOLHA"
"145";"A MELHOR JUVENTUDE  PARTE 1"
"146";"A MELHOR JUVENTUDE  PARTE 2"
"147";"A MENINA E O LEAO"
"148";"A MENINA INDIGO"
"149";"A MENINA SANTA"
"150";"A MESA NO DESERTO MOTORRAD"
"151";"A MISSA DO GALO"
"152";"A MISSA DO GALO  UM LADRAO"
"153";"A MOCA DO CALENDARIO"
"154";"A MORTE DE LUIS XIV"
"155";"A MORTE DE STALIN"
"156";"A MORTE DO CINEMA"
"157";"A MORTE TE DA PARABENS"
"158";"A MORTE TE DA PARABENS 2"
"159";"A MULA"
"160";"A MULHER DA LUZ PROPRIA"
"161";"A MULHER DO MEU MARIDO"
"162";"A MULHER SEM CABECA"
"163";"A MUMIA"
"164";"A MUSICA DA MINHA VIDA"
"165";"A MUSICA DE GION"
"166";"A MUSICA DO TEMPO  DO SONHO DO IMPERIO AO IMPERIO DO SONHO"
"167";"A MUSICA SEGUNDO ANTONIO CARLOS JOBIM"
"168";"A MUSICA SEGUNDO TOM JOBIM"
"169";"A NATUREZA DO TEMPO"
"170";"A NEVOA VERDE"
"171";"A NOITE AMARELA"
"172";"A NOITE DEVOROU O MUNDO"
"173";"A NOITE DO JOGO"
"174";"A NOITE DOS MORTOS VIVOS"
"175";"A NOIVA"
"176";"A NOIVA DO DESERTO"
"177";"A NOSSA BANDEIRA JAMAIS SERA VERMELHA"
"178";"A NOSSA ESPERA"
"179";"A NOVA SAGA DO CLA TAIRA"
"180";"A NUMERO UM"
"181";"A ODISSEIA"
"182";"A ODISSEIA DOS TONTOS"
"183";"A OPERA DE PARIS"
"184";"A ORIGEM DO DRAGAO"
"185";"A ORIGEM DOS GUARDIOES"
"186";"A OUTRA HISTORIA DO MUNDO"
"187";"A OUTRA MULHER"
"188";"A PAIXAO DE AUGUSTINE MOSTRA QUEBEC"
"189";"A PALAVRA"
"190";"A PARTE DO MUNDO QUE ME PERTENCE"
"191";"A PE ELE NAO VAI LONGE"
"192";"A PEDRA"
"193";"A PEDRA DA SERPENTE"
"194";"A PEQUENA TRAVESSA"
"195";"A PERMANENCIA"
"196";"A PONTE DO RIO KWAI"
"197";"A POSSESSAO DE MARY"
"198";"A PRECE"
"199";"A PRIMEIRA NOITE DE CRIME"
"200";"A PRIMEIRA NOITE DE UM HOMEM"
"201";"A PRINCESA DE ELYMIA"
"202";"A PRINCESA YANG KWEI FEI"
"203";"A PRISIONEIRA DO CAUCASO"
"204";"A PROFECIA"
"205";"A PROFESSORA DE MUSICA"
"206";"A PROMESSA"
"207";"A PROPOSITO DE NICE  TARIS REI DA AGUA"
"208";"A PULGA ALEGRE  DA SERIE QUATRO IRMAS"
"209";"A QUARTA PAREDE"
"210";"A QUEDA DO IMPERIO AMERICANO"
"211";"A QUIETUDE"
"212";"A RAINHA DO MEDO"
"213";"A RAIVA DOS INUK  MOSTRA QUEBEC"
"214";"A RAPOSA MA"
"215";"A REBELIAO"
"216";"A RESISTENCIA DE INGA"
"217";"A REVOLUCAO EM PARIS"
"218";"A ROSA AZUL DE NOVALIS"
"219";"A ROTA SELVAGEM"
"220";"A ROTINA TEM SEU ENCANTO"
"221";"A SEREIA  LAGO DOS MORTOS"
"222";"A SOMBRA DE DUAS MULHERES"
"223";"A SOMBRA DO PAI"
"224";"A SUPERFICIE DA SOMBRA"
"225";"A TABACARIA"
"226";"A TECNOLOGIA SOCIAL"
"227";"A TERCA PARTE DA NOITE"
"228";"A TERCEIRA MARGEM DO RIO"
"229";"A TERNURA"
"230";"A TERRA NEGRA DOS KAWA"
"231";"A TOCA DO LOBO IMS"
