Categoria: Todas as categorias

Semana,ingresso.com: (Brasil),filmes: (Brasil),estréia no cinema: (Brasil)
2017-01-01,<1,91,0
2017-01-08,<1,83,0
2017-01-15,<1,86,0
2017-01-22,<1,85,0
2017-01-29,<1,78,0
2017-02-05,<1,73,0
2017-02-12,<1,72,0
2017-02-19,<1,74,0
2017-02-26,<1,100,0
2017-03-05,<1,74,0
2017-03-12,1,78,0
2017-03-19,<1,73,0
2017-03-26,<1,76,0
2017-04-02,1,72,0
2017-04-09,1,81,0
2017-04-16,<1,83,0
2017-04-23,<1,78,0
2017-04-30,<1,85,0
2017-05-07,<1,68,0
2017-05-14,<1,70,0
2017-05-21,<1,74,0
2017-05-28,<1,74,0
2017-06-04,<1,71,0
2017-06-11,<1,83,0
2017-06-18,<1,74,0
2017-06-25,<1,79,0
2017-07-02,<1,81,0
2017-07-09,<1,80,0
2017-07-16,<1,87,0
2017-07-23,<1,84,0
2017-07-30,<1,78,0
2017-08-06,<1,74,0
2017-08-13,<1,78,0
2017-08-20,<1,75,0
2017-08-27,<1,69,0
2017-09-03,<1,80,0
2017-09-10,<1,64,0
2017-09-17,<1,69,0
2017-09-24,<1,74,0
2017-10-01,<1,71,0
2017-10-08,<1,79,0
2017-10-15,<1,64,0
2017-10-22,<1,67,0
2017-10-29,<1,78,0
2017-11-05,<1,64,0
2017-11-12,<1,66,0
2017-11-19,<1,62,0
2017-11-26,<1,64,0
2017-12-03,<1,63,0
2017-12-10,<1,64,0
2017-12-17,<1,67,0
2017-12-24,<1,86,0
2017-12-31,<1,82,0
2018-01-07,<1,76,0
2018-01-14,<1,69,0
2018-01-21,<1,69,0
2018-01-28,<1,68,0
2018-02-04,<1,64,0
2018-02-11,1,81,0
2018-02-18,<1,62,0
2018-02-25,<1,60,0
2018-03-04,<1,60,0
2018-03-11,<1,56,0
2018-03-18,<1,58,0
2018-03-25,<1,67,0
2018-04-01,<1,55,0
2018-04-08,<1,54,0
2018-04-15,<1,56,0
2018-04-22,1,59,0
2018-04-29,1,73,0
2018-05-06,<1,60,0
2018-05-13,<1,62,0
2018-05-20,<1,63,0
2018-05-27,<1,79,0
2018-06-03,<1,59,0
2018-06-10,<1,56,0
2018-06-17,<1,57,0
2018-06-24,<1,62,0
2018-07-01,<1,64,0
2018-07-08,<1,72,0
2018-07-15,<1,66,0
2018-07-22,<1,66,0
2018-07-29,<1,60,0
2018-08-05,<1,58,0
2018-08-12,<1,57,0
2018-08-19,<1,59,0
2018-08-26,<1,58,0
2018-09-02,<1,62,0
2018-09-09,<1,54,0
2018-09-16,<1,55,0
2018-09-23,<1,52,0
2018-09-30,<1,51,0
2018-10-07,<1,54,0
2018-10-14,<1,56,0
2018-10-21,<1,52,0
2018-10-28,<1,58,0
2018-11-04,<1,53,0
2018-11-11,<1,60,0
2018-11-18,<1,57,0
2018-11-25,<1,54,0
2018-12-02,<1,55,0
2018-12-09,<1,54,0
2018-12-16,<1,56,0
2018-12-23,<1,75,0
2018-12-30,<1,75,0
2019-01-06,<1,69,0
2019-01-13,<1,60,0
2019-01-20,<1,61,0
2019-01-27,<1,58,0
2019-02-03,<1,55,0
2019-02-10,<1,53,0
2019-02-17,<1,51,0
2019-02-24,<1,53,0
2019-03-03,<1,66,0
2019-03-10,<1,51,0
2019-03-17,<1,51,0
2019-03-24,<1,50,0
2019-03-31,1,50,0
2019-04-07,1,51,0
2019-04-14,<1,64,0
2019-04-21,1,59,0
2019-04-28,1,74,0
2019-05-05,<1,58,0
2019-05-12,<1,55,0
2019-05-19,<1,54,0
2019-05-26,<1,53,0
2019-06-02,<1,50,0
2019-06-09,<1,49,0
2019-06-16,<1,59,0
2019-06-23,<1,50,0
2019-06-30,<1,55,0
2019-07-07,<1,56,0
2019-07-14,<1,57,0
2019-07-21,<1,57,0
2019-07-28,<1,52,0
2019-08-04,<1,47,0
2019-08-11,<1,49,0
2019-08-18,<1,49,0
2019-08-25,<1,46,0
2019-09-01,<1,47,0
2019-09-08,<1,45,0
2019-09-15,<1,46,0
2019-09-22,<1,47,0
2019-09-29,<1,45,0
2019-10-06,<1,49,0
2019-10-13,<1,47,0
2019-10-20,<1,45,0
2019-10-27,<1,47,0
2019-11-03,<1,44,0
2019-11-10,<1,52,0
2019-11-17,<1,45,0
2019-11-24,<1,43,0
2019-12-01,<1,45,0
2019-12-08,<1,48,0
2019-12-15,<1,49,0
2019-12-22,<1,61,0
2019-12-29,<1,66,0
2020-01-05,<1,58,0
2020-01-12,<1,55,0
2020-01-19,<1,54,0
2020-01-26,<1,49,0
2020-02-02,<1,49,0
2020-02-09,<1,50,0
2020-02-16,<1,48,0
2020-02-23,<1,63,0
2020-03-01,<1,45,0
2020-03-08,<1,41,0
2020-03-15,<1,56,0
2020-03-22,<1,80,0
2020-03-29,<1,64,0
2020-04-05,<1,61,0
2020-04-12,0,58,0
2020-04-19,<1,55,0
2020-04-26,<1,57,0
2020-05-03,<1,53,0
2020-05-10,0,53,0
2020-05-17,<1,53,0
2020-05-24,<1,53,0
2020-05-31,<1,47,0
2020-06-07,<1,48,0
2020-06-14,<1,47,0
2020-06-21,0,46,0
2020-06-28,<1,45,0
2020-07-05,<1,40,0
