ano_mes,volume
2017/01,428
2017/010,364
2017/011,260
2017/012,367
2017/02,323
2017/03,305
2017/04,404
2017/05,290
2017/06,311
2017/07,415
2017/08,300
2017/09,291
2018/01,286
2018/010,224
2018/011,228
2018/012,320
2018/02,271
2018/03,245
2018/04,302
2018/05,268
2018/06,238
2018/07,333
2018/08,236
2018/09,279
2019/01,252
2019/010,192
2019/011,188
2019/012,274
2019/02,216
2019/03,273
2019/04,252
2019/05,224
2019/06,268
2019/07,226
2019/08,195
2019/09,235
2020/01,220
2020/02,214
2020/03,291
2020/04,234
2020/05,263
2020/06,189
2020/07,41
